Airport,Number of Claims,Total Claim Amount,Latitude,Longitude
JOHN F. KENNEDY INTERNATIONAL,523,50635.31,40.63980103,-73.77890015
LOS ANGELES INTERNATIONAL AIRPORT,495,28864.61,33.94250107,-118.4079971
ORLANDO INTERNATIONAL AIRPORT,372,25795.49,28.42939949,-81.30899811
HARTSFIELD-JACKSON ATLANTA INTERNATIONAL AIRPORT,362,17725.27,33.6367,-84.428101
NEWARK INTERNATIONAL AIRPORT,312,32630.15,40.69250107,-74.16870117
MIAMI INTERNATIONAL AIRPORT,306,22801.2,25.79319954,-80.29060364
CHICAGO O'HARE INTERNATIONAL AIRPORT,261,17446.55,41.9786,-87.9048
MCCARRAN INTERNATIONAL,256,9533.35,36.08010101,-115.1520004
PHOENIX SKY HARBOR INTERNATIONAL,245,22239.19,33.43429947,-112.012001
SEATTLE-TACOMA INTERNATIONAL,244,18362.59,47.449001,-122.308998
BOSTON (LOGAN) INTERNATIONAL AIRPORT,218,21809.48,42.36429977,-71.00520325
DALLAS-FORT WORTH INTERNATIONAL AIRPORT,185,11730.97,32.896801,-97.038002
DENVER INTERNATIONAL AIRPORT,181,13967.44,39.86169815,-104.6729965
PHILADELPHIA INTERNATIONAL AIRPORT,169,10251.5,39.87189865,-75.2410965
WASHINGTON DULLES INTERNATIONAL,169,8618.74,38.94449997,-77.45580292
FT. LAUDERDALE-HOLLYWOOD INTERNATIONAL,167,17550.38,26.19729996,-80.17070007
HOUSTON - GEORGE BUSH INTERCONTINENTAL AIRPORT,163,16119.4,29.9843998,95.34140015
LA GUARDIA,128,8363.97,40.77719879,-73.87259674
SAN DIEGO INTERNATIONAL,126,3752.11,32.73360062,-117.1900024
HONOLULU INTERNATIONAL AIRPORT,122,10224.62,21.32062,-157.924228
